,RunId,iteration,Step,num_type_a_1,num_type_a_2,is_torus,grid_height,grid_width,immediate_killing,aggressiveness,avrg_viability_time_type_a,A1_Initial_Edge_Distance,A2_Initial_Edge_Distance,A1_Initial_Aggressiveness,A2_Initial_Competition_Index,A1_Number,A2_Number
0,0,0,0,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,10,50
1,0,0,10,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,19,85
2,0,0,20,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,28,120
3,0,0,30,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,40,144
4,0,0,40,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,40,156
5,0,0,50,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,50,180
6,0,0,60,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,53,214
7,0,0,70,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,74,262
8,0,0,80,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,91,327
9,0,0,90,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,114,374
10,0,0,100,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,138,432
11,0,0,110,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,157,492
12,0,0,120,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,196,564
13,0,0,130,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,250,649
14,0,0,140,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,300,741
15,0,0,150,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,393,801
16,0,0,160,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,404,805
17,0,0,170,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,417,795
18,0,0,180,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,420,785
19,0,0,190,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,427,779
20,0,0,200,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,437,772
21,0,0,210,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,446,770
22,0,0,220,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,454,760
23,0,0,230,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,459,759
24,0,0,240,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,470,752
25,0,0,250,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,477,732
26,0,0,260,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,480,731
27,0,0,270,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,483,734
28,0,0,280,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,481,729
29,0,0,290,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,493,717
30,0,0,300,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,493,728
31,0,0,310,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,503,718
32,0,0,320,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,502,722
33,0,0,330,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,496,705
34,0,0,340,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,506,716
35,0,0,350,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,507,708
36,0,0,360,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,506,715
37,0,0,370,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,508,707
38,0,0,380,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,520,697
39,0,0,390,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,520,696
40,0,0,400,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,519,688
41,0,0,410,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,525,692
42,0,0,420,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,524,680
43,0,0,430,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,532,688
44,0,0,440,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,533,691
45,0,0,450,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,530,685
46,0,0,460,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,538,682
47,0,0,470,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,541,681
48,0,0,480,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,541,678
49,0,0,490,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,546,677
50,0,0,500,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,543,667
51,0,0,510,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,544,668
52,0,0,520,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,544,669
53,0,0,530,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,542,671
54,0,0,540,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,546,667
55,0,0,550,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,553,662
56,0,0,560,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,546,663
57,0,0,570,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,552,657
58,0,0,580,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,554,658
59,0,0,590,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,549,669
60,0,0,600,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,563,667
61,0,0,610,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,562,658
62,0,0,620,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,553,661
63,0,0,630,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,562,654
64,0,0,640,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,558,660
65,0,0,650,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,556,660
66,0,0,660,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,562,662
67,0,0,670,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,557,654
68,0,0,680,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,552,657
69,0,0,690,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,560,657
70,0,0,700,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,558,652
71,0,0,710,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,553,652
72,0,0,720,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,559,656
73,0,0,730,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,559,647
74,0,0,740,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,557,657
75,0,0,750,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,558,643
76,0,0,760,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,567,651
77,0,0,770,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,575,641
78,0,0,780,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,577,650
79,0,0,790,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,580,644
80,0,0,800,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,577,646
81,0,0,810,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,576,631
82,0,0,820,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,577,640
83,0,0,830,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,574,636
84,0,0,840,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,580,633
85,0,0,850,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,573,635
86,0,0,860,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,578,640
87,0,0,870,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,580,638
88,0,0,880,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,588,633
89,0,0,890,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,583,624
90,0,0,900,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,583,635
91,0,0,910,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,592,636
92,0,0,920,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,590,616
93,0,0,930,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,596,632
94,0,0,940,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,587,625
95,0,0,950,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,593,616
96,0,0,960,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,602,616
97,0,0,970,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,595,619
98,0,0,980,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,598,617
99,0,0,990,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,600,609
100,0,0,1000,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,606,609
101,0,0,1010,10,50,False,25,25,False,2.5,30,3.1,3.42,2.5,0.1,601,604
